# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  1.12179022e+01  9.99986840e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  2.68023163e+01  9.99229007e-01  7.19945012e-05  3.54009995e-02  1.41051026e-02  9.99229007e-01  1
2  2.64252661e+01  9.88938491e-01  5.18834334e-05  3.54009995e-02  1.37343920e-03  9.88938491e-01  1
3  1.99555288e+01  8.84043156e-01  4.01095411e-05  3.54009995e-02  3.10972580e-04  8.84043156e-01  1
4  2.35754520e+01  4.83832470e-01  3.71847774e-05  3.54009995e-02  1.21617923e-04  4.83832470e-01  1
5  9.48093985e+00  1.62133197e-01  1.96031483e-05  3.54009995e-02  6.29158827e-05  1.62133197e-01  1
6  2.94291207e+00  4.93037070e-02  8.31342795e-06  3.54009995e-02  5.97001964e-05  4.93037070e-02  1
7  8.94912337e-01  1.49409433e-02  7.92177544e-06  3.54009995e-02  1.68604440e-04  1.49409433e-02  1
8  2.72943462e-01  4.54894376e-03  7.92485619e-06  3.54009995e-02  5.38337778e-04  4.54894376e-03  1
9  8.35430646e-02  1.39013202e-03  7.92294619e-06  3.54009995e-02  1.74963420e-03  1.39013202e-03  1
10  2.56738520e-02  4.27096887e-04  7.92365104e-06  3.54009995e-02  5.70785066e-03  4.27096887e-04  1
11  7.90269112e-03  1.32446104e-04  7.92353181e-06  3.54009995e-02  1.85599946e-02  1.32446104e-04  1
12  2.51571258e-03  4.64514605e-05  7.92360138e-06  3.54009995e-02  5.98330232e-02  4.64514605e-05  0
13  9.66843047e-04  2.72181574e-05  7.92359067e-06  3.54009995e-02  1.70585782e-01  2.72181574e-05  0
14  6.75875409e-04  2.53625093e-05  7.92359726e-06  3.54009995e-02  2.91122312e-01  2.53625093e-05  0
15  6.38268537e-04  2.51765303e-05  7.92359625e-06  3.54009995e-02  3.12421658e-01  2.51765303e-05  0
16  6.37079164e-04  2.51784382e-05  7.92359687e-06  3.54009995e-02  3.14729482e-01  2.51784382e-05  0
17  6.36773313e-04  2.51776446e-05  7.92359677e-06  3.54009995e-02  3.14705631e-01  2.51776446e-05  0
18  6.36966614e-04  2.51793382e-05  7.92359683e-06  3.54009995e-02  3.14715552e-01  2.51793382e-05  0
19  6.36973424e-04  2.51794570e-05  7.92359682e-06  3.54009995e-02  3.14694384e-01  2.51794570e-05  0
20  6.36993907e-04  2.51796280e-05  7.92359683e-06  3.54009995e-02  3.14692900e-01  2.51796280e-05  0
21  6.36995267e-04  2.51796448e-05  7.92359682e-06  3.54009995e-02  3.14690763e-01  2.51796448e-05  0
22  6.36997184e-04  2.51796608e-05  7.92359683e-06  3.54009995e-02  3.14690553e-01  2.51796608e-05  0
23  6.36997351e-04  2.51796628e-05  7.92359683e-06  3.54009995e-02  3.14690353e-01  2.51796628e-05  0
24  6.36997530e-04  2.51796643e-05  7.92359683e-06  3.54009995e-02  3.14690328e-01  2.51796643e-05  0
25  6.36997549e-04  2.51796645e-05  7.92359683e-06  3.54009995e-02  3.14690309e-01  2.51796645e-05  0
26  6.36997566e-04  2.51796646e-05  7.92359683e-06  3.54009995e-02  3.14690306e-01  2.51796646e-05  0
27  6.36997568e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690305e-01  2.51796647e-05  0
28  6.36997569e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690304e-01  2.51796647e-05  0
29  6.36997570e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690304e-01  2.51796647e-05  0
30  6.36997570e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690304e-01  2.51796647e-05  0
31  6.36997570e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690304e-01  2.51796647e-05  0
32  6.36997570e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690304e-01  2.51796647e-05  0
33  6.36997570e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690304e-01  2.51796647e-05  0
34  6.36997570e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690304e-01  2.51796647e-05  0
35  6.36997570e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690304e-01  2.51796647e-05  0
36  6.36997570e-04  2.51796647e-05  7.92359683e-06  3.54009995e-02  3.14690304e-01  2.51796647e-05  0
