# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  5.90364211e+01  9.99961631e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  6.41714532e+01  9.99708378e-01  6.36029423e-07  7.93846538e-02  7.32425255e-05  9.99708378e-01  1
2  6.78999225e+01  9.99116889e-01  1.21360241e-06  7.93846538e-02  5.14694164e-05  9.99116889e-01  1
3  7.05075831e+01  9.97960841e-01  2.30904784e-06  7.93846538e-02  5.72659601e-05  9.97960841e-01  1
4  6.34805014e+01  9.95727977e-01  2.70882579e-06  7.93846538e-02  4.51530569e-05  9.95727977e-01  1
5  6.51587609e+01  9.91463043e-01  2.77626117e-06  7.93846538e-02  3.28553638e-05  9.91463043e-01  1
6  5.87158222e+01  9.83449605e-01  2.79510493e-06  7.93846538e-02  2.42559966e-05  9.83449605e-01  1
7  5.99859573e+01  9.68734868e-01  2.80772016e-06  7.93846538e-02  1.83516651e-05  9.68734868e-01  1
8  6.18780821e+01  9.42631618e-01  2.83240253e-06  7.93846538e-02  1.43402698e-05  9.42631618e-01  1
9  6.40836813e+01  8.98749493e-01  2.83876408e-06  7.93846538e-02  1.15150319e-05  8.98749493e-01  1
10  6.54998947e+01  8.30742979e-01  2.84748525e-06  7.93846538e-02  9.66252529e-06  8.30742979e-01  1
11  6.43783550e+01  7.36598075e-01  2.84720734e-06  7.93846538e-02  8.54214241e-06  7.36598075e-01  1
12  5.95115928e+01  6.22948330e-01  2.84995975e-06  7.93846538e-02  8.08293899e-06  6.22948330e-01  1
13  5.14145242e+01  5.03795211e-01  2.84914895e-06  7.93846538e-02  8.21584023e-06  5.03795211e-01  1
14  4.19171976e+01  3.93257629e-01  2.85055077e-06  7.93846538e-02  8.95807790e-06  3.93257629e-01  1
15  3.27871706e+01  2.99628670e-01  2.84997351e-06  7.93846538e-02  1.03468136e-05  2.99628670e-01  1
16  2.49836003e+01  2.24927169e-01  2.85077428e-06  7.93846538e-02  1.25024154e-05  2.24927169e-01  1
17  1.87499490e+01  1.67436441e-01  2.85041438e-06  7.93846538e-02  1.55979858e-05  1.67436441e-01  1
18  1.39547143e+01  1.24086116e-01  2.85083291e-06  7.93846538e-02  1.99180135e-05  1.24086116e-01  1
19  1.03408149e+01  9.17586042e-02  2.85062928e-06  7.93846538e-02  2.58458235e-05  9.17586042e-02  1
20  7.64665174e+00  6.77895329e-02  2.85083962e-06  7.93846538e-02  3.39318254e-05  6.77895329e-02  1
21  5.64933702e+00  5.00680796e-02  2.85073066e-06  7.93846538e-02  4.49099707e-05  5.00680796e-02  1
22  4.17265839e+00  3.69819889e-02  2.85083654e-06  7.93846538e-02  5.97936193e-05  3.69819889e-02  1
23  3.08220682e+00  2.73228244e-02  2.85077948e-06  7.93846538e-02  7.99383493e-05  2.73228244e-02  1
24  2.27727472e+00  2.01928727e-02  2.85083343e-06  7.93846538e-02  1.07190797e-04  2.01928727e-02  1
25  1.68308473e+00  1.49286990e-02  2.85080372e-06  7.93846538e-02  1.44030095e-04  1.49286990e-02  1
26  1.24435681e+00  1.10406467e-02  2.85083154e-06  7.93846538e-02  1.93814310e-04  1.10406467e-02  1
27  9.20308029e-01  8.16799773e-03  2.85081607e-06  7.93846538e-02  2.61061957e-04  8.16799773e-03  1
28  6.80873703e-01  6.04466255e-03  2.85083054e-06  7.93846538e-02  3.51875330e-04  6.04466255e-03  1
29  5.03892652e-01  4.47470101e-03  2.85082247e-06  7.93846538e-02  4.74477280e-04  4.47470101e-03  1
30  3.73027049e-01  3.31338970e-03  2.85083005e-06  7.93846538e-02  6.39950420e-04  3.31338970e-03  1
31  2.76226236e-01  2.45416815e-03  2.85082583e-06  7.93846538e-02  8.63246414e-04  2.45416815e-03  1
32  2.04599890e-01  1.81816292e-03  2.85082982e-06  7.93846538e-02  1.16447858e-03  1.81816292e-03  1
33  1.51583773e-01  1.34733950e-03  2.85082760e-06  7.93846538e-02  1.57082231e-03  1.34733950e-03  1
34  1.12331873e-01  9.98612420e-04  2.85082971e-06  7.93846538e-02  2.11874643e-03  9.98612420e-04  1
35  8.32617975e-02  7.40342445e-04  2.85082855e-06  7.93846538e-02  2.85764062e-03  7.40342445e-04  1
36  6.17279222e-02  5.48934100e-04  2.85082966e-06  7.93846538e-02  3.85354138e-03  5.48934100e-04  1
37  4.57715964e-02  4.07132738e-04  2.85082905e-06  7.93846538e-02  5.19624116e-03  4.07132738e-04  1
38  3.39467058e-02  3.01978212e-04  2.85082964e-06  7.93846538e-02  7.00506257e-03  3.01978212e-04  1
39  2.51803928e-02  2.24067973e-04  2.85082932e-06  7.93846538e-02  9.44336410e-03  2.24067973e-04  1
40  1.86816178e-02  1.66256213e-04  2.85082963e-06  7.93846538e-02  1.27259080e-02  1.66256213e-04  1
41  1.38615027e-02  1.23432594e-04  2.85082946e-06  7.93846538e-02  1.71500564e-02  1.23432594e-04  1
42  1.02873403e-02  9.16357212e-05  2.85082963e-06  7.93846538e-02  2.30990974e-02  9.16357212e-05  1
43  7.63503502e-03  6.81047862e-05  2.85082954e-06  7.93846538e-02  3.11133119e-02  6.81047862e-05  1
44  5.66818655e-03  5.06252571e-05  2.85082963e-06  7.93846538e-02  4.18623116e-02  5.06252571e-05  1
45  4.20771034e-03  3.77260546e-05  2.85082958e-06  7.93846538e-02  5.63152479e-02  3.77260546e-05  1
46  3.12490723e-03  2.81507818e-05  2.85082963e-06  7.93846538e-02  7.55694495e-02  2.81507818e-05  1
47  2.32016865e-03  2.11447464e-05  2.85082960e-06  7.93846538e-02  1.01272848e-01  2.11447464e-05  0
48  1.72397593e-03  1.59705927e-05  2.85082963e-06  7.93846538e-02  1.34827340e-01  1.59705927e-05  0
49  1.28029633e-03  1.22945558e-05  2.85082961e-06  7.93846538e-02  1.78507787e-01  1.22945558e-05  0
50  9.52190460e-04  9.63671054e-06  2.85082963e-06  7.93846538e-02  2.31880250e-01  9.63671054e-06  0
51  7.07519169e-04  7.94815815e-06  2.85082962e-06  7.93846538e-02  2.95833011e-01  7.94815815e-06  0
52  5.27323058e-04  6.79932364e-06  2.85082963e-06  7.93846538e-02  3.58680871e-01  6.79932364e-06  0
53  3.92564444e-04  6.26413471e-06  2.85082962e-06  7.93846538e-02  4.19284205e-01  6.26413471e-06  0
54  2.94239361e-04  5.87946868e-06  2.85082963e-06  7.93846538e-02  4.55106350e-01  5.87946868e-06  0
55  2.20504469e-04  5.76368505e-06  2.85082963e-06  7.93846538e-02  4.84881635e-01  5.76368505e-06  0
56  1.67867156e-04  5.63498612e-06  2.85082963e-06  7.93846538e-02  4.94622109e-01  5.63498612e-06  0
57  1.28460336e-04  5.61760259e-06  2.85082963e-06  7.93846538e-02  5.05918849e-01  5.61760259e-06  0
58  1.01721058e-04  5.56901346e-06  2.85082963e-06  7.93846538e-02  5.07484394e-01  5.56901346e-06  0
59  8.20040859e-05  5.57163514e-06  2.85082963e-06  7.93846538e-02  5.11912124e-01  5.57163514e-06  0
60  6.99423971e-05  5.55123694e-06  2.85082963e-06  7.93846538e-02  5.11671249e-01  5.55123694e-06  0
61  6.12538394e-05  5.55617149e-06  2.85082963e-06  7.93846538e-02  5.13551391e-01  5.55617149e-06  0
62  5.67302495e-05  5.54684196e-06  2.85082963e-06  7.93846538e-02  5.13095298e-01  5.54684196e-06  0
63  5.33928975e-05  5.55059693e-06  2.85082963e-06  7.93846538e-02  5.13958296e-01  5.55059693e-06  0
64  5.19850132e-05  5.54603973e-06  2.85082963e-06  7.93846538e-02  5.13610606e-01  5.54603973e-06  0
65  5.16658811e-05  5.54841961e-06  2.85082963e-06  7.93846538e-02  5.14032640e-01  5.54841961e-06  0
66  5.16658832e-05  5.54608839e-06  2.85082963e-06  7.93846538e-02  5.13812157e-01  5.54608839e-06  0
67  5.16658812e-05  5.54749296e-06  2.85082963e-06  7.93846538e-02  5.14028129e-01  5.54749296e-06  0
68  5.16658824e-05  5.54626429e-06  2.85082963e-06  7.93846538e-02  5.13897983e-01  5.54626429e-06  0
69  5.16658813e-05  5.54706598e-06  2.85082963e-06  7.93846538e-02  5.14011827e-01  5.54706598e-06  0
70  5.16658820e-05  5.54640650e-06  2.85082963e-06  7.93846538e-02  5.13937540e-01  5.54640650e-06  0
71  5.16658814e-05  5.54685637e-06  2.85082963e-06  7.93846538e-02  5.13998648e-01  5.54685637e-06  0
72  5.16658817e-05  5.54649857e-06  2.85082963e-06  7.93846538e-02  5.13956961e-01  5.54649857e-06  0
73  5.16658814e-05  5.54674878e-06  2.85082963e-06  7.93846538e-02  5.13990115e-01  5.54674878e-06  0
74  5.16658816e-05  5.54655345e-06  2.85082963e-06  7.93846538e-02  5.13966930e-01  5.54655345e-06  0
75  5.16658815e-05  5.54669195e-06  2.85082963e-06  7.93846538e-02  5.13985030e-01  5.54669195e-06  0
76  5.16658816e-05  5.54658492e-06  2.85082963e-06  7.93846538e-02  5.13972196e-01  5.54658492e-06  0
77  5.16658815e-05  5.54666140e-06  2.85082963e-06  7.93846538e-02  5.13982113e-01  5.54666140e-06  0
78  5.16658815e-05  5.54660263e-06  2.85082963e-06  7.93846538e-02  5.13975027e-01  5.54660263e-06  0
79  5.16658815e-05  5.54664480e-06  2.85082963e-06  7.93846538e-02  5.13980472e-01  5.54664480e-06  0
80  5.16658815e-05  5.54661250e-06  2.85082963e-06  7.93846538e-02  5.13976565e-01  5.54661250e-06  0
81  5.16658815e-05  5.54663574e-06  2.85082963e-06  7.93846538e-02  5.13979558e-01  5.54663574e-06  0
82  5.16658815e-05  5.54661797e-06  2.85082963e-06  7.93846538e-02  5.13977405e-01  5.54661797e-06  0
83  5.16658815e-05  5.54663077e-06  2.85082963e-06  7.93846538e-02  5.13979051e-01  5.54663077e-06  0
84  5.16658815e-05  5.54662099e-06  2.85082963e-06  7.93846538e-02  5.13977865e-01  5.54662099e-06  0
85  5.16658815e-05  5.54662804e-06  2.85082963e-06  7.93846538e-02  5.13978771e-01  5.54662804e-06  0
86  5.16658815e-05  5.54662265e-06  2.85082963e-06  7.93846538e-02  5.13978118e-01  5.54662265e-06  0
87  5.16658815e-05  5.54662654e-06  2.85082963e-06  7.93846538e-02  5.13978617e-01  5.54662654e-06  0
88  5.16658815e-05  5.54662357e-06  2.85082963e-06  7.93846538e-02  5.13978257e-01  5.54662357e-06  0
89  5.16658815e-05  5.54662571e-06  2.85082963e-06  7.93846538e-02  5.13978532e-01  5.54662571e-06  0
90  5.16658815e-05  5.54662408e-06  2.85082963e-06  7.93846538e-02  5.13978334e-01  5.54662408e-06  0
91  5.16658815e-05  5.54662526e-06  2.85082963e-06  7.93846538e-02  5.13978485e-01  5.54662526e-06  0
92  5.16658815e-05  5.54662436e-06  2.85082963e-06  7.93846538e-02  5.13978376e-01  5.54662436e-06  0
93  5.16658815e-05  5.54662501e-06  2.85082963e-06  7.93846538e-02  5.13978459e-01  5.54662501e-06  0
94  5.16658815e-05  5.54662451e-06  2.85082963e-06  7.93846538e-02  5.13978399e-01  5.54662451e-06  0
95  5.16658815e-05  5.54662487e-06  2.85082963e-06  7.93846538e-02  5.13978445e-01  5.54662487e-06  0
96  5.16658815e-05  5.54662460e-06  2.85082963e-06  7.93846538e-02  5.13978412e-01  5.54662460e-06  0
97  5.16658815e-05  5.54662479e-06  2.85082963e-06  7.93846538e-02  5.13978437e-01  5.54662479e-06  0
98  5.16658815e-05  5.54662464e-06  2.85082963e-06  7.93846538e-02  5.13978419e-01  5.54662464e-06  0
99  5.16658815e-05  5.54662475e-06  2.85082963e-06  7.93846538e-02  5.13978433e-01  5.54662475e-06  0
100  5.16658815e-05  5.54662467e-06  2.85082963e-06  7.93846538e-02  5.13978423e-01  5.54662467e-06  0
