# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  5.90364211e+01  9.99961631e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  6.41714351e+01  9.99708636e-01  6.36014989e-05  7.93846538e-02  7.32408634e-03  9.99708636e-01  1
2  6.79012019e+01  9.99117617e-01  1.21422943e-04  7.93846538e-02  5.15181946e-03  9.99117617e-01  1
3  7.05059962e+01  9.97962390e-01  2.31030600e-04  7.93846538e-02  5.73198137e-03  9.97962390e-01  1
4  6.34881716e+01  9.95730481e-01  2.71002326e-04  7.93846538e-02  4.51891348e-03  9.95730481e-01  1
5  6.51569113e+01  9.91466618e-01  2.77741705e-04  7.93846538e-02  3.28778360e-03  9.91466618e-01  1
6  5.87126705e+01  9.83453132e-01  2.79624467e-04  7.93846538e-02  2.42703493e-03  9.83453132e-01  1
7  5.99824690e+01  9.68735685e-01  2.80887663e-04  7.93846538e-02  1.83608521e-03  9.68735685e-01  1
8  6.18751765e+01  9.42621804e-01  2.83352325e-04  7.93846538e-02  1.43460884e-03  9.42621804e-01  1
9  6.40814512e+01  8.98716109e-01  2.83989140e-04  7.93846538e-02  1.15189300e-03  8.98716109e-01  1
10  6.54972707e+01  8.30665199e-01  2.84859098e-04  7.93846538e-02  9.66538147e-04  8.30665199e-01  1
11  6.43721876e+01  7.36462001e-01  2.84831674e-04  7.93846538e-02  8.54472524e-04  7.36462001e-01  1
12  5.94987884e+01  6.22752210e-01  2.85106022e-04  7.93846538e-02  8.08585192e-04  6.22752210e-01  1
13  5.13952301e+01  5.03563565e-01  2.85024914e-04  7.93846538e-02  8.21972656e-04  5.03563565e-01  1
14  4.18940460e+01  3.93015065e-01  2.85164610e-04  7.93846538e-02  8.96360783e-04  3.93015065e-01  1
15  3.27636902e+01  2.99402628e-01  2.85106769e-04  7.93846538e-02  1.03549108e-03  2.99402628e-01  1
16  2.49618555e+01  2.24724833e-01  2.85186576e-04  7.93846538e-02  1.25141658e-03  2.24724833e-01  1
17  1.87311364e+01  1.67267256e-01  2.85150535e-04  7.93846538e-02  1.56152300e-03  1.67267256e-01  1
18  1.39389028e+01  1.23943506e-01  2.85192257e-04  7.93846538e-02  1.99427706e-03  1.23943506e-01  1
19  1.03279201e+01  9.16454966e-02  2.85171885e-04  7.93846538e-02  2.58820936e-03  9.16454966e-02  1
20  7.63620955e+00  6.76961224e-02  2.85192858e-04  7.93846538e-02  3.39831161e-03  6.76961224e-02  1
21  5.64102513e+00  4.99969836e-02  2.85181965e-04  7.93846538e-02  4.49851567e-03  4.99969836e-02  1
22  4.16604134e+00  3.69236789e-02  2.85192522e-04  7.93846538e-02  5.98974421e-03  3.69236789e-02  1
23  3.07700251e+00  2.72810204e-02  2.85186821e-04  7.93846538e-02  8.00906523e-03  2.72810204e-02  1
24  2.27317497e+00  2.01590304e-02  2.85192200e-04  7.93846538e-02  1.07391669e-02  2.01590304e-02  1
