# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  5.90364211e+01  9.99961631e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  6.41717240e+01  9.99708663e-01  7.08980677e-05  7.93846538e-02  8.16432910e-03  9.99708663e-01  1
2  6.79008453e+01  9.99117676e-01  1.25198059e-04  7.93846538e-02  5.31223306e-03  9.99117676e-01  1
3  7.05066452e+01  9.97962435e-01  2.37640512e-04  7.93846538e-02  5.89616577e-03  9.97962435e-01  1
4  6.34860454e+01  9.95730431e-01  2.09474891e-04  7.93846538e-02  3.49299125e-03  9.95730431e-01  1
5  6.51568105e+01  9.91466238e-01  2.07363422e-04  7.93846538e-02  2.45466350e-03  9.91466238e-01  1
6  5.87133416e+01  9.83451967e-01  1.59440088e-04  7.93846538e-02  1.38385275e-03  9.83451967e-01  1
7  5.99832762e+01  9.68732972e-01  1.54666743e-04  7.93846538e-02  1.01098422e-03  9.68732972e-01  1
8  6.18757698e+01  9.42616735e-01  1.72858914e-04  7.93846538e-02  8.75152996e-04  9.42616735e-01  1
9  6.40817392e+01  8.98706921e-01  1.22824100e-04  7.93846538e-02  4.98173776e-04  8.98706921e-01  1
10  6.54968426e+01  8.30651743e-01  8.96769851e-05  7.93846538e-02  3.04269785e-04  8.30651743e-01  1
11  6.43710952e+01  7.36443792e-01  9.37793586e-05  7.93846538e-02  2.81326424e-04  7.36443792e-01  1
12  5.94972548e+01  6.22730899e-01  1.10826010e-04  7.93846538e-02  3.14311015e-04  6.22730899e-01  1
13  5.13930605e+01  5.03543571e-01  1.23359558e-04  7.93846538e-02  3.55755363e-04  5.03543571e-01  1
14  4.18919278e+01  3.92995257e-01  1.47292001e-04  7.93846538e-02  4.62993742e-04  3.92995257e-01  1
15  3.27621266e+01  2.99391263e-01  1.46242941e-04  7.93846538e-02  5.31163086e-04  2.99391263e-01  1
16  2.49615103e+01  2.24723980e-01  1.18603022e-04  7.93846538e-02  5.20452071e-04  2.24723980e-01  1
17  1.87319362e+01  1.67274245e-01  8.78582415e-05  7.93846538e-02  4.81125112e-04  1.67274245e-01  1
18  1.39406073e+01  1.23960404e-01  5.29972338e-05  7.93846538e-02  3.70583028e-04  1.23960404e-01  1
19  1.03300866e+01  9.16630469e-02  3.53586609e-05  7.93846538e-02  3.20875071e-04  9.16630469e-02  1
20  7.63858076e+00  6.77183220e-02  2.04757527e-05  7.93846538e-02  2.43942987e-04  6.77183220e-02  1
21  5.64332983e+00  5.00147671e-02  1.37744213e-05  7.93846538e-02  2.17213713e-04  5.00147671e-02  1
22  4.16819382e+00  3.69428280e-02  9.00550599e-06  7.93846538e-02  1.89073732e-04  3.69428280e-02  1
23  3.07890365e+00  2.72935995e-02  6.10001165e-06  7.93846538e-02  1.71224501e-04  2.72935995e-02  1
24  2.27482765e+00  2.01715216e-02  4.59101453e-06  7.93846538e-02  1.72801192e-04  2.01715216e-02  1
25  1.68127651e+00  1.49127506e-02  3.05122951e-06  7.93846538e-02  1.54316072e-04  1.49127506e-02  1
26  1.24301781e+00  1.10290244e-02  2.48736493e-06  7.93846538e-02  1.69282152e-04  1.10290244e-02  1
27  9.19318542e-01  8.15929379e-03  1.62042202e-06  7.93846538e-02  1.48543944e-04  8.15929379e-03  1
28  6.80140667e-01  6.03833267e-03  1.36679819e-06  7.93846538e-02  1.68881120e-04  6.03833267e-03  1
29  5.03350790e-01  4.46994185e-03  8.79795143e-07  7.93846538e-02  1.46581479e-04  4.46994185e-03  1
30  3.72625316e-01  3.30993885e-03  7.51983743e-07  7.93846538e-02  1.68983205e-04  3.30993885e-03  1
31  2.75929234e-01  2.45155773e-03  4.81369368e-07  7.93846538e-02  1.45912871e-04  2.45155773e-03  1
32  2.04379452e-01  1.81627923e-03  4.13353609e-07  7.93846538e-02  1.69021911e-04  1.81627923e-03  1
33  1.51420861e-01  1.34589974e-03  2.64159376e-07  7.93846538e-02  1.45704008e-04  1.34589974e-03  1
34  1.12210748e-01  9.97580965e-04  2.27064280e-07  7.93846538e-02  1.68935232e-04  9.97580965e-04  1
35  8.31724017e-02  7.39538686e-04  1.45172430e-07  7.93846538e-02  1.45669631e-04  7.39538686e-04  1
36  6.16612506e-02  5.48362745e-04  1.24712223e-07  7.93846538e-02  1.68759869e-04  5.48362745e-04  1
37  4.57225468e-02  4.06669784e-04  7.98558507e-08  7.93846538e-02  1.45705815e-04  4.06669784e-04  1
38  3.39099085e-02  3.01648246e-04  6.85107869e-08  7.93846538e-02  1.68536368e-04  3.01648246e-04  1
39  2.51535000e-02  2.23778240e-04  4.39584759e-08  7.93846538e-02  1.45771562e-04  2.23778240e-04  1
40  1.86612053e-02  1.66039677e-04  3.76518666e-08  7.93846538e-02  1.68292915e-04  1.66039677e-04  1
41  1.38467723e-02  1.23213024e-04  2.42127527e-08  7.93846538e-02  1.45849314e-04  1.23213024e-04  1
42  1.02758908e-02  9.14474365e-05  2.07029845e-08  7.93846538e-02  1.68046646e-04  9.14474365e-05  1
43  7.62695438e-03  6.78782789e-05  1.33437969e-08  7.93846538e-02  1.45931015e-04  6.78782789e-05  1
44  5.66159175e-03  5.03911720e-05  1.13896987e-08  7.93846538e-02  1.67807316e-04  5.03911720e-05  1
45  4.20320722e-03  3.74125256e-05  7.35738554e-09  7.93846538e-02  1.46012803e-04  3.74125256e-05  1
46  3.12085313e-03  2.77804270e-05  6.26936385e-09  7.93846538e-02  1.67580197e-04  2.77804270e-05  1
47  2.31747802e-03  2.06298018e-05  4.05840844e-09  7.93846538e-02  1.46092830e-04  2.06298018e-05  1
48  1.72108960e-03  1.53216718e-05  3.45269611e-09  7.93846538e-02  1.67367935e-04  1.53216718e-05  1
49  1.27831147e-03  1.13801361e-05  2.23953853e-09  7.93846538e-02  1.46170266e-04  1.13801361e-05  1
50  9.49535825e-04  8.45356538e-06  1.90241469e-09  7.93846538e-02  1.67171669e-04  8.45356538e-06  1
51  7.05387128e-04  6.27999153e-06  1.23627977e-09  7.93846538e-02  1.46244829e-04  6.27999153e-06  1
52  5.24060706e-04  4.66579909e-06  1.04869969e-09  7.93846538e-02  1.66991671e-04  4.66579909e-06  1
53  3.89380146e-04  3.46670288e-06  6.82680374e-10  7.93846538e-02  1.46316536e-04  3.46670288e-06  1
54  2.89334866e-04  2.57603711e-06  5.78340150e-10  7.93846538e-02  1.66827725e-04  2.57603711e-06  1
55  2.15012109e-04  1.91429353e-06  3.77093673e-10  7.93846538e-02  1.46385564e-04  1.91429353e-06  1
56  1.59792751e-04  1.42268013e-06  3.19072573e-10  7.93846538e-02  1.66679341e-04  1.42268013e-06  1
57  1.18763722e-04  1.05736410e-06  2.08354306e-10  7.93846538e-02  1.46452177e-04  1.05736410e-06  1
58  8.82754816e-05  7.85926392e-07  1.76099448e-10  7.93846538e-02  1.66545880e-04  7.85926392e-07  1
59  6.56185529e-05  5.84192067e-07  1.15151234e-10  7.93846538e-02  1.46516679e-04  5.84192067e-07  1
60  4.87798674e-05  4.34277581e-07  9.72250607e-11  7.93846538e-02  1.66426631e-04  4.34277581e-07  1
61  3.62645906e-05  3.22844790e-07  6.36561166e-11  7.93846538e-02  1.46579393e-04  3.22844790e-07  1
62  2.69618963e-05  2.40024897e-07  5.36958029e-11  7.93846538e-02  1.66320851e-04  2.40024897e-07  1
63  2.00467717e-05  1.78456255e-07  3.51973926e-11  7.93846538e-02  1.46640625e-04  1.78456255e-07  1
64  1.49060381e-05  1.32691084e-07  2.96643843e-11  7.93846538e-02  1.66227794e-04  1.32691084e-07  1
65  1.10842092e-05  9.86650221e-08  1.94658704e-11  7.93846538e-02  1.46700685e-04  9.86650221e-08  1
66  8.24269890e-06  7.33698586e-08  1.63928693e-11  7.93846538e-02  1.66146732e-04  7.33698586e-08  1
67  6.12995622e-06  5.45610026e-08  1.07677489e-11  7.93846538e-02  1.46759853e-04  5.45610026e-08  1
68  4.55896391e-06  4.05768787e-08  9.06132589e-12  7.93846538e-02  1.66076977e-04  4.05768787e-08  1
69  3.39075810e-06  3.01775479e-08  5.95743081e-12  7.93846538e-02  1.46818366e-04  3.01775479e-08  1
70  2.52201143e-06  2.24450026e-08  5.01000798e-12  7.93846538e-02  1.66017734e-04  2.24450026e-08  1
71  1.87593569e-06  1.66941123e-08  3.29664430e-12  7.93846538e-02  1.46876542e-04  1.66941123e-08  1
72  1.39542755e-06  1.24175601e-08  2.77069664e-12  7.93846538e-02  1.65968495e-04  1.24175601e-08  1
73  1.03804501e-06  9.23668657e-09  1.82456729e-12  7.93846538e-02  1.46934445e-04  9.23668657e-09  1
74  7.72222572e-07  6.87107008e-09  1.53263044e-12  7.93846538e-02  1.65928598e-04  6.87107008e-09  1
75  5.74496426e-07  5.11138607e-09  1.00999586e-12  7.93846538e-02  1.46992514e-04  5.11138607e-09  1
76  4.27413897e-07  3.80259682e-09  8.47965616e-13  7.93846538e-02  1.65897392e-04  3.80259682e-09  1
77  3.18000316e-07  2.82896254e-09  5.59174037e-13  7.93846538e-02  1.47050572e-04  2.82896254e-09  1
78  2.36603986e-07  2.10475014e-09  4.69252759e-13  7.93846538e-02  1.65874505e-04  2.10475014e-09  1
79  1.76048904e-07  1.56595214e-09  3.09627353e-13  7.93846538e-02  1.47108841e-04  1.56595214e-09  1
80  1.30996410e-07  1.16515068e-09  2.59728320e-13  7.93846538e-02  1.65859680e-04  1.16515068e-09  1
81  9.74768384e-08  8.66941061e-10  1.71473037e-13  7.93846538e-02  1.47168122e-04  8.66941061e-10  1
82  7.25366573e-08  6.45092432e-10  1.43782832e-13  7.93846538e-02  1.65850757e-04  6.45092432e-10  1
83  5.39795028e-08  4.80018108e-10  9.49752281e-14  7.93846538e-02  1.47227317e-04  4.80018108e-10  1
84  4.01710918e-08  3.57204983e-10  7.96095965e-14  7.93846538e-02  1.65847070e-04  3.57204983e-10  1
85  2.98959922e-08  2.65815329e-10  5.26116661e-14  7.93846538e-02  1.47287044e-04  2.65815329e-10  1
86  2.22497477e-08  1.97818240e-10  4.40863868e-14  7.93846538e-02  1.65853441e-04  1.97818240e-10  1
87  1.65596516e-08  1.47215927e-10  2.91484962e-14  7.93846538e-02  1.47349892e-04  1.47215927e-10  1
88  1.23250700e-08  1.09563617e-10  2.44186393e-14  7.93846538e-02  1.65869549e-04  1.09563617e-10  1
89  9.17362492e-09  8.15416707e-11  1.61496135e-14  7.93846538e-02  1.47399419e-04  8.15416707e-11  1
90  6.82816898e-09  6.06897609e-11  1.35265088e-14  7.93846538e-02  1.65884617e-04  6.06897609e-11  1
91  5.08253466e-09  4.51701660e-11  8.94979315e-15  7.93846538e-02  1.47467926e-04  4.51701660e-11  1
92  3.78327154e-09  3.36210478e-11  7.49460965e-15  7.93846538e-02  1.65919462e-04  3.36210478e-11  1
93  2.81622127e-09  2.50246436e-11  4.96012131e-15  7.93846538e-02  1.47530242e-04  2.50246436e-11  1
