# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  1.12179022e+01  9.99986840e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  2.84745265e+01  9.99397628e-01  9.35307175e-03  3.54009995e-02  1.83244601e+00  9.99397628e-01  0
2  2.76503795e+01  9.95433509e-01  1.74671297e-02  3.54009995e-02  5.20792253e-01  9.95433509e-01  0
3  1.86174323e+01  9.85272522e-01  2.61626038e-02  3.54009995e-02  3.00358630e-01  9.85272522e-01  0
4  9.96564367e+00  9.69824700e-01  3.27481880e-02  3.54009995e-02  2.24757201e-01  9.69824700e-01  0
5  1.32899278e+01  9.47520873e-01  3.49041727e-02  3.54009995e-02  1.79155484e-01  9.47520873e-01  0
6  1.72925967e+01  9.15993859e-01  3.50834228e-02  3.54009995e-02  1.46767210e-01  9.15993859e-01  0
7  2.16919969e+01  8.73412317e-01  3.44667130e-02  3.54009995e-02  1.23538376e-01  8.73412317e-01  0
8  2.60296203e+01  8.19152607e-01  3.31957979e-02  3.54009995e-02  1.06173472e-01  8.19152607e-01  0
9  2.96785631e+01  7.54213495e-01  3.13568425e-02  3.54009995e-02  9.29486732e-02  7.54213495e-01  0
10  3.20366887e+01  6.81339056e-01  2.90201543e-02  3.54009995e-02  8.26730185e-02  6.81339056e-01  0
11  3.27749073e+01  6.04480326e-01  2.63192155e-02  3.54009995e-02  7.45854476e-02  6.04480326e-01  0
12  3.19441758e+01  5.27839429e-01  2.34222279e-02  3.54009995e-02  6.81497150e-02  5.27839429e-01  0
13  2.98934628e+01  4.54958660e-01  2.05040093e-02  3.54009995e-02  6.29861540e-02  4.54958660e-01  0
14  2.70887286e+01  3.88231333e-01  1.77104188e-02  3.54009995e-02  5.88154274e-02  3.88231333e-01  0
15  2.39583461e+01  3.28871884e-01  1.51407911e-02  3.54009995e-02  5.54288934e-02  3.28871884e-01  0
16  2.08184442e+01  2.77163788e-01  1.28470266e-02  3.54009995e-02  5.26676657e-02  2.77163788e-01  0
17  1.78649131e+01  2.32782635e-01  1.08436172e-02  3.54009995e-02  5.04092623e-02  2.32782635e-01  0
18  1.51978089e+01  1.95074745e-01  9.12045986e-03  3.54009995e-02  4.85582428e-02  1.95074745e-01  0
19  1.28525561e+01  1.63253110e-01  7.65392986e-03  3.54009995e-02  4.70397375e-02  1.63253110e-01  0
20  1.08261209e+01  1.36517034e-01  6.41469072e-03  3.54009995e-02  4.57948349e-02  1.36517034e-01  0
21  9.09531805e+00  1.14116193e-01  5.37249722e-03  3.54009995e-02  4.47773142e-02  1.14116193e-01  0
22  7.62827672e+00  9.53792682e-02  4.49880016e-03  3.54009995e-02  4.39513603e-02  9.53792682e-02  0
23  6.39103107e+00  7.97221020e-02  3.76794486e-03  3.54009995e-02  4.32900639e-02  7.97221020e-02  0
24  5.35099216e+00  6.66450484e-02  3.15755156e-03  3.54009995e-02  4.27746119e-02  6.66450484e-02  0
25  4.47855984e+00  5.57253238e-02  2.64846247e-03  3.54009995e-02  4.23941874e-02  5.57253238e-02  0
26  3.74768897e+00  4.66075767e-02  2.22448738e-03  3.54009995e-02  4.21467372e-02  4.66075767e-02  0
27  3.13590289e+00  3.89943650e-02  1.87208276e-03  3.54009995e-02  4.20410385e-02  3.89943650e-02  0
28  2.62403983e+00  3.26373364e-02  1.58004676e-03  3.54009995e-02  4.21011234e-02  3.26373364e-02  0
29  2.19589046e+00  2.73294270e-02  1.33930623e-03  3.54009995e-02  4.23760352e-02  2.73294270e-02  0
30  1.83781088e+00  2.28981392e-02  1.14297616e-03  3.54009995e-02  4.29655813e-02  2.28981392e-02  0
31  1.53835277e+00  1.91998416e-02  9.87612361e-04  3.54009995e-02  4.41185534e-02  1.91998416e-02  0
32  1.28792903e+00  1.61149807e-02  8.81963076e-04  3.54009995e-02  4.68180814e-02  1.61149807e-02  0
33  1.07852111e+00  1.35440817e-02  8.45021013e-04  3.54009995e-02  5.32821165e-02  1.35440817e-02  0
34  9.03427349e-01  1.14044192e-02  8.36558818e-04  3.54009995e-02  6.26022713e-02  1.14044192e-02  0
35  7.57049430e-01  9.62724622e-03  8.33560069e-04  3.54009995e-02  7.39245849e-02  9.62724622e-03  0
36  6.34712237e-01  8.15548560e-03  8.32137948e-04  3.54009995e-02  8.72678954e-02  8.15548560e-03  0
37  5.32512744e-01  6.94179450e-03  8.31356699e-04  3.54009995e-02  1.02769729e-01  6.94179450e-03  0
38  4.47193528e-01  5.94692132e-03  8.30891306e-04  3.54009995e-02  1.20524934e-01  5.94692132e-03  0
39  3.76037011e-01  5.13827425e-03  8.30600647e-04  3.54009995e-02  1.40499631e-01  5.13827425e-03  0
40  3.16777023e-01  4.48861779e-03  8.30413964e-04  3.54009995e-02  1.62443824e-01  4.48861779e-03  0
41  2.67524666e-01  3.97481554e-03  8.30292144e-04  3.54009995e-02  1.85807544e-01  3.97481554e-03  0
42  2.26705885e-01  3.57657543e-03  8.30212048e-04  3.54009995e-02  2.09698288e-01  3.57657543e-03  0
43  1.93008424e-01  3.27528199e-03  8.30159322e-04  3.54009995e-02  2.32940276e-01  3.27528199e-03  0
44  1.65336189e-01  3.05321219e-03  8.30124765e-04  3.54009995e-02  2.54281517e-01  3.05321219e-03  0
