# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  1.12179022e+01  9.99986840e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  2.83851224e+01  9.99381194e-01  9.15084101e-03  3.54009995e-02  1.79282514e+00  9.99381194e-01  0
2  2.71102903e+01  9.94578127e-01  1.58752559e-02  3.54009995e-02  4.67216794e-01  9.94578127e-01  0
3  1.76581987e+01  9.76859540e-01  2.23887752e-02  3.54009995e-02  2.37803947e-01  9.76859540e-01  0
4  1.60313217e+01  9.28173985e-01  2.58653818e-02  3.54009995e-02  1.47411142e-01  9.28173985e-01  0
5  2.29739098e+01  8.58320986e-01  3.03170983e-02  3.54009995e-02  1.14128646e-01  8.58320986e-01  0
6  2.93093475e+01  7.62211702e-01  2.90603671e-02  3.54009995e-02  9.04926247e-02  7.62211702e-01  0
7  3.22506964e+01  6.66950869e-01  2.77486977e-02  3.54009995e-02  7.92720291e-02  6.66950869e-01  0
8  3.25714892e+01  5.71636745e-01  2.48608077e-02  3.54009995e-02  7.06409779e-02  5.71636745e-01  0
9  3.07348441e+01  4.80773662e-01  2.14224855e-02  3.54009995e-02  6.35845426e-02  4.80773662e-01  0
10  2.77024600e+01  4.01713933e-01  1.82831906e-02  3.54009995e-02  5.88798011e-02  4.01713933e-01  0
11  2.42480753e+01  3.34238223e-01  1.54167314e-02  3.54009995e-02  5.52121956e-02  3.34238223e-01  0
12  2.07970798e+01  2.76975212e-01  1.28680805e-02  3.54009995e-02  5.21530280e-02  2.76975212e-01  0
13  1.76010478e+01  2.29036911e-01  1.06842129e-02  3.54009995e-02  4.96938476e-02  2.29036911e-01  0
14  1.47812043e+01  1.89377127e-01  8.85633871e-03  3.54009995e-02  4.77659246e-02  1.89377127e-01  0
15  1.23631314e+01  1.56754997e-01  7.34285162e-03  3.54009995e-02  4.62518718e-02  1.56754997e-01  0
16  1.03214909e+01  1.29953511e-01  6.09424511e-03  3.54009995e-02  4.50480454e-02  1.29953511e-01  0
17  8.61143391e+00  1.07908857e-01  5.06441853e-03  3.54009995e-02  4.40787336e-02  1.07908857e-01  0
18  7.18468148e+00  8.97394975e-02  4.21406463e-03  3.54009995e-02  4.32908896e-02  8.97394975e-02  0
19  5.99628467e+00  7.47303355e-02  3.51074693e-03  3.54009995e-02  4.26465047e-02  7.47303355e-02  0
20  5.00688229e+00  6.23049000e-02  2.92801716e-03  3.54009995e-02  4.21173330e-02  6.23049000e-02  0
21  4.18300348e+00  5.19983071e-02  2.44437920e-03  3.54009995e-02  4.16816729e-02  5.19983071e-02  0
22  3.49660442e+00  4.34345293e-02  2.04235429e-03  3.54009995e-02  4.13224437e-02  4.34345293e-02  0
23  2.92436260e+00  3.63082276e-02  1.70770075e-03  3.54009995e-02  4.10259769e-02  3.63082276e-02  0
24  2.44694947e+00  3.03704735e-02  1.42878276e-03  3.54009995e-02  4.07812129e-02  3.03704735e-02  0
25  2.04836708e+00  2.54175641e-02  1.19606573e-03  3.54009995e-02  4.05791359e-02  2.54175641e-02  0
26  1.71537472e+00  2.12822371e-02  1.00171431e-03  3.54009995e-02  4.04123571e-02  2.12822371e-02  0
27  1.43700664e+00  1.78267357e-02  8.39272165e-04  3.54009995e-02  4.02747980e-02  1.78267357e-02  0
28  1.20417215e+00  1.49373018e-02  7.03406028e-04  3.54009995e-02  4.01614444e-02  1.49373018e-02  0
29  1.00932621e+00  1.25197771e-02  5.89700543e-04  3.54009995e-02  4.00681508e-02  1.25197771e-02  0
30  8.46199160e-01  1.04960689e-02  4.94493043e-04  3.54009995e-02  3.99914846e-02  1.04960689e-02  0
31  7.09575006e-01  8.80129656e-03  4.14739956e-04  3.54009995e-02  3.99285998e-02  8.80129656e-03  0
32  5.95109609e-01  7.38147476e-03  3.47908326e-04  3.54009995e-02  3.98771347e-02  7.38147476e-03  0
33  4.99181286e-01  6.19162601e-03  2.91887374e-04  3.54009995e-02  3.98351280e-02  6.19162601e-03  0
34  4.18767923e-01  5.19423592e-03  2.44916139e-04  3.54009995e-02  3.98009499e-02  5.19423592e-03  0
