# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  5.90364211e+01  9.99961631e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  6.41714561e+01  9.99708379e-01  7.08987245e-07  7.93846538e-02  8.16440474e-05  9.99708379e-01  1
2  6.78999190e+01  9.99116890e-01  1.25145591e-06  7.93846538e-02  5.30748238e-05  9.99116890e-01  1
3  7.05075896e+01  9.97960841e-01  2.37576154e-06  7.93846538e-02  5.89205242e-05  9.97960841e-01  1
4  6.34804801e+01  9.95727977e-01  2.09549073e-06  7.93846538e-02  3.49294600e-05  9.95727977e-01  1
5  6.51587599e+01  9.91463039e-01  2.07361626e-06  7.93846538e-02  2.45399870e-05  9.91463039e-01  1
6  5.87158290e+01  9.83449594e-01  1.59363772e-06  7.93846538e-02  1.38296287e-05  9.83449594e-01  1
7  5.99859655e+01  9.68734841e-01  1.54620103e-06  7.93846538e-02  1.01061906e-05  9.68734841e-01  1
8  6.18780882e+01  9.42631567e-01  1.72892541e-06  7.93846538e-02  8.75343399e-06  9.42631567e-01  1
9  6.40836843e+01  8.98749401e-01  1.22922340e-06  7.93846538e-02  4.98616368e-06  8.98749401e-01  1
10  6.54998905e+01  8.30742844e-01  8.96626972e-07  7.93846538e-02  3.04257188e-06  8.30742844e-01  1
11  6.43783441e+01  7.36597892e-01  9.37637222e-07  7.93846538e-02  2.81308261e-06  7.36597892e-01  1
12  5.95115775e+01  6.22948116e-01  1.10796482e-06  7.93846538e-02  3.14236429e-06  6.22948116e-01  1
13  5.14145025e+01  5.03795010e-01  1.23309542e-06  7.93846538e-02  3.55576915e-06  5.03795010e-01  1
14  4.19171764e+01  3.93257430e-01  1.47258755e-06  7.93846538e-02  4.62772206e-06  3.93257430e-01  1
15  3.27871549e+01  2.99628555e-01  1.46257492e-06  7.93846538e-02  5.30987220e-06  2.99628555e-01  1
16  2.49835967e+01  2.24927159e-01  1.18704074e-06  7.93846538e-02  5.20591222e-06  2.24927159e-01  1
17  1.87499568e+01  1.67436511e-01  8.79757711e-07  7.93846538e-02  4.81419434e-06  1.67436511e-01  1
18  1.39547310e+01  1.24086288e-01  5.30937779e-07  7.93846538e-02  3.70952014e-06  1.24086288e-01  1
19  1.03408363e+01  9.17587855e-02  3.54337877e-07  7.93846538e-02  3.21267415e-06  9.17587855e-02  1
20  7.64667523e+00  6.77897653e-02  2.05178882e-07  7.93846538e-02  2.44211612e-06  6.77897653e-02  1
21  5.64935989e+00  5.00682738e-02  1.38066267e-07  7.93846538e-02  2.17506768e-06  5.00682738e-02  1
22  4.17267978e+00  3.69822043e-02  9.02055324e-08  7.93846538e-02  1.89196935e-06  3.69822043e-02  1
23  3.08222574e+00  2.73229841e-02  6.11297269e-08  7.93846538e-02  1.71412136e-06  2.73229841e-02  1
24  2.27729121e+00  2.01930444e-02  4.59672684e-08  7.93846538e-02  1.72835076e-06  2.01930444e-02  1
25  1.68309868e+00  1.49288138e-02  3.05677654e-08  7.93846538e-02  1.54435096e-06  1.49288138e-02  1
26  1.24436846e+00  1.10407742e-02  2.48986470e-08  7.93846538e-02  1.69272630e-06  1.10407742e-02  1
27  9.20317677e-01  8.16807289e-03  1.62301116e-08  7.93846538e-02  1.48624682e-06  8.16807289e-03  1
28  6.80881502e-01  6.04475382e-03  1.36800237e-08  7.93846538e-02  1.68849704e-06  6.04475382e-03  1
29  5.03899088e-01  4.47474565e-03  8.81081458e-09  7.93846538e-02  1.46640790e-06  4.47474565e-03  1
30  3.73032076e-01  3.31345373e-03  7.52591648e-09  7.93846538e-02  1.68939063e-06  3.31345373e-03  1
31  2.76230443e-01  2.45419036e-03  4.82032012e-09  7.93846538e-02  1.45959247e-06  2.45419036e-03  1
32  2.04603024e-01  1.81820650e-03  4.13667472e-09  7.93846538e-02  1.68969246e-06  1.81820650e-03  1
33  1.51586503e-01  1.34734472e-03  2.64507755e-09  7.93846538e-02  1.45741798e-06  1.34734472e-03  1
34  1.12333755e-01  9.98639382e-04  2.27228366e-09  7.93846538e-02  1.68876248e-06  9.98639382e-04  1
35  8.32635785e-02  7.40332909e-04  1.45357792e-09  7.93846538e-02  1.45701196e-06  7.40332909e-04  1
36  6.17289886e-02  5.48944815e-04  1.24798739e-09  7.93846538e-02  1.68695907e-06  5.48944815e-04  1
37  4.57727775e-02  4.07106876e-04  7.99552316e-10  7.93846538e-02  1.45732541e-06  4.07106876e-04  1
38  3.39472409e-02  3.01968748e-04  6.85567155e-10  7.93846538e-02  1.68468354e-06  3.01968748e-04  1
39  2.51811942e-02  2.24019060e-04  4.40120428e-10  7.93846538e-02  1.45794336e-06  2.24019060e-04  1
40  1.86817953e-02  1.66216347e-04  3.76763940e-10  7.93846538e-02  1.68221553e-06  1.66216347e-04  1
41  1.38620518e-02  1.23345841e-04  2.42417424e-10  7.93846538e-02  1.45868756e-06  1.23345841e-04  1
42  1.02872542e-02  9.15449184e-05  2.07161542e-10  7.93846538e-02  1.67972502e-06  9.15449184e-05  1
43  7.63538963e-03  6.79515967e-05  1.33595375e-10  7.93846538e-02  1.45947593e-06  6.79515967e-05  1
44  5.66786688e-03  5.04450077e-05  1.13968057e-10  7.93846538e-02  1.67730865e-06  5.04450077e-05  1
45  4.20786669e-03  3.74530324e-05  7.36595648e-11  7.93846538e-02  1.46026899e-06  3.74530324e-05  1
46  3.12432028e-03  2.78101828e-05  6.27321697e-11  7.93846538e-02  1.67501842e-06  2.78101828e-05  1
47  2.32005317e-03  2.06521982e-05  4.06308731e-11  7.93846538e-02  1.46104768e-06  2.06521982e-05  1
48  1.72300623e-03  1.53381307e-05  3.45479426e-11  7.93846538e-02  1.67288032e-06  1.53381307e-05  1
49  1.27973535e-03  1.13925280e-05  2.24209847e-11  7.93846538e-02  1.46180320e-06  1.13925280e-05  1
50  9.50595823e-04  8.46267567e-06  1.90356164e-11  7.93846538e-02  1.67090510e-06  8.46267567e-06  1
51  7.06174795e-04  6.28685256e-06  1.23768344e-11  7.93846538e-02  1.46253261e-06  6.28685256e-06  1
52  5.24647190e-04  4.67084512e-06  1.04932907e-11  7.93846538e-02  1.66909539e-06  4.67084512e-06  1
53  3.89816048e-04  3.47050400e-06  6.83451649e-12  7.93846538e-02  1.46323593e-06  3.47050400e-06  1
54  2.89659490e-04  2.57883374e-06  5.78686633e-12  7.93846538e-02  1.66744842e-06  2.57883374e-06  1
55  2.15253433e-04  1.91640066e-06  3.77518226e-12  7.93846538e-02  1.46391446e-06  1.91640066e-06  1
56  1.59972499e-04  1.42423100e-06  3.19263976e-12  7.93846538e-02  1.66595950e-06  1.42423100e-06  1
57  1.18897371e-04  1.05853282e-06  2.08588412e-12  7.93846538e-02  1.46457077e-06  1.05853282e-06  1
58  8.83750450e-05  7.86786900e-07  1.76205316e-12  7.93846538e-02  1.66462011e-06  7.86786900e-07  1
59  6.56925951e-05  5.84840653e-07  1.15280634e-12  7.93846538e-02  1.46520900e-06  5.84840653e-07  1
60  4.88350338e-05  4.34755290e-07  9.72839828e-13  7.93846538e-02  1.66342814e-06  4.34755290e-07  1
61  3.63056230e-05  3.23204907e-07  6.37276820e-13  7.93846538e-02  1.46582942e-06  3.23204907e-07  1
62  2.69924723e-05  2.40290230e-07  5.37285294e-13  7.93846538e-02  1.66236792e-06  2.40290230e-07  1
63  2.00695176e-05  1.78656300e-07  3.52369241e-13  7.93846538e-02  1.46643218e-06  1.78656300e-07  1
64  1.49229898e-05  1.32838528e-07  2.96825926e-13  7.93846538e-02  1.66143584e-06  1.32838528e-07  1
65  1.10968217e-05  9.87761984e-08  1.94878641e-13  7.93846538e-02  1.46703422e-06  9.87761984e-08  1
66  8.25209962e-06  7.34518292e-08  1.64029906e-13  7.93846538e-02  1.66062194e-06  7.34518292e-08  1
67  6.13695161e-06  5.46228167e-08  1.07800607e-13  7.93846538e-02  1.46763690e-06  5.46228167e-08  1
68  4.56417850e-06  4.06224696e-08  9.06700083e-14  7.93846538e-02  1.65992929e-06  4.06224696e-08  1
69  3.39463898e-06  3.02119310e-08  5.96432438e-14  7.93846538e-02  1.46823290e-06  3.02119310e-08  1
70  2.52490467e-06  2.24703702e-08  5.01323977e-14  7.93846538e-02  1.65935766e-06  2.24703702e-08  1
71  1.87808923e-06  1.67132449e-08  3.30035529e-14  7.93846538e-02  1.46875879e-06  1.67132449e-08  1
72  1.39703319e-06  1.24316805e-08  2.77246994e-14  7.93846538e-02  1.65884602e-06  1.24316805e-08  1
