# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  5.90364211e+01  9.99961631e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  6.41714805e+01  9.99708404e-01  7.08986642e-06  7.93846538e-02  8.16439780e-04  9.99708404e-01  1
2  6.79000040e+01  9.99116961e-01  1.25150356e-05  7.93846538e-02  5.30791388e-04  9.99116961e-01  1
3  7.05075060e+01  9.97960986e-01  2.37582005e-05  7.93846538e-02  5.89242635e-04  9.97960986e-01  1
4  6.34809858e+01  9.95728200e-01  2.09542322e-05  7.93846538e-02  3.49294996e-04  9.95728200e-01  1
5  6.51585838e+01  9.91463331e-01  2.07361796e-05  7.93846538e-02  2.45405924e-04  9.91463331e-01  1
6  5.87156032e+01  9.83449811e-01  1.59370716e-05  7.93846538e-02  1.38304383e-04  9.83449811e-01  1
7  5.99857212e+01  9.68734674e-01  1.54624331e-05  7.93846538e-02  1.01065221e-04  9.68734674e-01  1
8  6.18778773e+01  9.42630228e-01  1.72889494e-05  7.93846538e-02  8.75326175e-05  9.42630228e-01  1
9  6.40835073e+01  8.98745556e-01  1.22913431e-05  7.93846538e-02  4.98576241e-05  8.98745556e-01  1
10  6.54996137e+01  8.30734595e-01  8.96639905e-06  7.93846538e-02  3.04258329e-05  8.30734595e-01  1
11  6.43776871e+01  7.36583931e-01  9.37651362e-06  7.93846538e-02  2.81309899e-05  7.36583931e-01  1
12  5.95102796e+01  6.22928430e-01  1.10799156e-05  7.93846538e-02  3.14243180e-05  6.22928430e-01  1
13  5.14125594e+01  5.03772213e-01  1.23314072e-05  7.93846538e-02  3.55593074e-05  5.03772213e-01  1
14  4.19148879e+01  3.93233649e-01  1.47261770e-05  7.93846538e-02  4.62792285e-05  3.93233649e-01  1
15  3.27848857e+01  2.99607016e-01  1.46256184e-05  7.93846538e-02  5.31003200e-05  2.99607016e-01  1
16  2.49815934e+01  2.24908703e-01  1.18694918e-05  7.93846538e-02  5.20578664e-05  2.24908703e-01  1
17  1.87483214e+01  1.67421756e-01  8.79651119e-06  7.93846538e-02  4.81392803e-05  1.67421756e-01  1
18  1.39534486e+01  1.24074835e-01  5.30850075e-06  7.93846538e-02  3.70918541e-05  1.24074835e-01  1
19  1.03398598e+01  9.17500694e-02  3.54269520e-06  7.93846538e-02  3.21231739e-05  9.17500694e-02  1
20  7.64593968e+00  6.77832594e-02  2.05140467e-06  7.93846538e-02  2.44187111e-05  6.77832594e-02  1
21  5.64881180e+00  5.00633994e-02  1.38036856e-06  7.93846538e-02  2.17479971e-05  5.00633994e-02  1
22  4.17227197e+00  3.69786167e-02  9.01917605e-07  7.93846538e-02  1.89185586e-05  3.69786167e-02  1
23  3.08192370e+00  2.73203063e-02  6.11178496e-07  7.93846538e-02  1.71394864e-05  2.73203063e-02  1
24  2.27706720e+00  2.01910828e-02  4.59620265e-07  7.93846538e-02  1.72831854e-05  2.01910828e-02  1
25  1.68293298e+00  1.49273496e-02  3.05626713e-07  7.93846538e-02  1.54424064e-05  1.49273496e-02  1
26  1.24424563e+00  1.10397029e-02  2.48963509e-07  7.93846538e-02  1.69273378e-05  1.10397029e-02  1
27  9.20226814e-01  8.16727242e-03  1.62277320e-07  7.93846538e-02  1.48617153e-05  8.16727242e-03  1
28  6.80814127e-01  6.04416822e-03  1.36789175e-07  7.93846538e-02  1.68852463e-05  6.04416822e-03  1
29  5.03849222e-01  4.47430750e-03  8.80963225e-08  7.93846538e-02  1.46635232e-05  4.47430750e-03  1
30  3.72995081e-01  3.31313306e-03  7.52535798e-08  7.93846538e-02  1.68942995e-05  3.31313306e-03  1
31  2.76203047e-01  2.45395016e-03  4.81971115e-08  7.93846538e-02  1.45954886e-05  2.45395016e-03  1
32  2.04582689e-01  1.81803061e-03  4.13638630e-08  7.93846538e-02  1.68973962e-05  1.81803061e-03  1
33  1.51571437e-01  1.34721283e-03  2.64475746e-08  7.93846538e-02  1.45738234e-05  1.34721283e-03  1
34  1.12322566e-01  9.98542748e-04  2.27213282e-08  7.93846538e-02  1.68881546e-05  9.98542748e-04  1
35  8.32552849e-02  7.40260390e-04  1.45340764e-08  7.93846538e-02  1.45698212e-05  7.40260390e-04  1
36  6.17228269e-02  5.48891649e-04  1.24790781e-08  7.93846538e-02  1.68701663e-05  5.48891649e-04  1
37  4.57682082e-02  4.07066950e-04  7.99461034e-09  7.93846538e-02  1.45730009e-05  4.07066950e-04  1
38  3.39438448e-02  3.01939461e-04  6.85524877e-09  7.93846538e-02  1.68474481e-05  3.01939461e-04  1
39  2.51786748e-02  2.23997053e-04  4.40071230e-09  7.93846538e-02  1.45792174e-05  2.23997053e-04  1
40  1.86799221e-02  1.66200196e-04  3.76741343e-09  7.93846538e-02  1.68227986e-05  1.66200196e-04  1
41  1.38606617e-02  1.23333698e-04  2.42390801e-09  7.93846538e-02  1.45866908e-05  1.23333698e-04  1
42  1.02862204e-02  9.15360023e-05  2.07149399e-09  7.93846538e-02  1.67979190e-05  9.15360023e-05  1
43  7.63462217e-03  6.79448904e-05  1.33580920e-09  7.93846538e-02  1.45946015e-05  6.79448904e-05  1
44  5.66729594e-03  5.04400813e-05  1.13961497e-09  7.93846538e-02  1.67737764e-05  5.04400813e-05  1
45  4.20744274e-03  3.74493255e-05  7.36516937e-10  7.93846538e-02  1.46025555e-05  3.74493255e-05  1
46  3.12400480e-03  2.78074585e-05  6.27286101e-10  7.93846538e-02  1.67508916e-05  2.78074585e-05  1
47  2.31981885e-03  2.06501477e-05  4.06265755e-10  7.93846538e-02  1.46103626e-05  2.06501477e-05  1
48  1.72283182e-03  1.53366230e-05  3.45460014e-10  7.93846538e-02  1.67295243e-05  1.53366230e-05  1
49  1.27960578e-03  1.13913929e-05  2.24186342e-10  7.93846538e-02  1.46179364e-05  1.13913929e-05  1
50  9.50499360e-04  8.46184073e-06  1.90345548e-10  7.93846538e-02  1.67097842e-05  8.46184073e-06  1
51  7.06103113e-04  6.28622374e-06  1.23755458e-10  7.93846538e-02  1.46252464e-05  6.28622374e-06  1
52  5.24593815e-04  4.67038241e-06  1.04927069e-10  7.93846538e-02  1.66916948e-05  4.67038241e-06  1
53  3.89776375e-04  3.47015544e-06  6.83380800e-11  7.93846538e-02  1.46322920e-05  3.47015544e-06  1
54  2.89629944e-04  2.57857716e-06  5.78654427e-11  7.93846538e-02  1.66752310e-05  2.57857716e-06  1
55  2.15231468e-04  1.91620733e-06  3.77479261e-11  7.93846538e-02  1.46390901e-05  1.91620733e-06  1
56  1.59956139e-04  1.42408864e-06  3.19246094e-11  7.93846538e-02  1.66603426e-05  1.42408864e-06  1
57  1.18885206e-04  1.05842554e-06  2.08566945e-11  7.93846538e-02  1.46456643e-05  1.05842554e-06  1
58  8.83659820e-05  7.86707864e-07  1.76195509e-11  7.93846538e-02  1.66469619e-05  7.86707864e-07  1
59  6.56858549e-05  5.84781081e-07  1.15268702e-11  7.93846538e-02  1.46520453e-05  5.84781081e-07  1
60  4.88300118e-05  4.34711389e-07  9.72783677e-12  7.93846538e-02  1.66350157e-05  4.34711389e-07  1
61  3.63018875e-05  3.23171812e-07  6.37211127e-12  7.93846538e-02  1.46582634e-05  3.23171812e-07  1
