# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  1.12179022e+01  9.99986840e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  2.67839211e+01  9.99228851e-01  7.63531765e-04  3.54009995e-02  1.49590506e-01  9.99228851e-01  0
2  2.64394097e+01  9.88918304e-01  5.55578056e-04  3.54009995e-02  1.47056241e-02  9.88918304e-01  1
3  1.99713529e+01  8.83721966e-01  4.44457664e-04  3.54009995e-02  3.44321080e-03  8.83721966e-01  1
4  2.35403574e+01  4.83039157e-01  3.95845832e-04  3.54009995e-02  1.29373253e-03  4.83039157e-01  1
5  9.45201791e+00  1.61712761e-01  1.91849387e-04  3.54009995e-02  6.16278013e-04  1.61712761e-01  1
6  2.93233940e+00  4.91554594e-02  6.72209160e-05  3.54009995e-02  4.83798450e-04  4.91554594e-02  1
7  8.91543064e-01  1.48915357e-02  1.94546333e-05  3.54009995e-02  4.15255851e-04  1.48915357e-02  1
8  2.71849024e-01  4.53262750e-03  6.07945095e-06  3.54009995e-02  4.14328882e-04  4.53262750e-03  1
9  8.32203969e-02  1.38530889e-03  1.79068590e-06  3.54009995e-02  3.96856459e-04  1.38530889e-03  1
10  2.55559963e-02  4.24805616e-04  5.64991455e-07  3.54009995e-02  4.08410102e-04  4.24805616e-04  1
11  7.86770116e-03  1.30607995e-04  1.68074413e-07  3.54009995e-02  3.95818241e-04  1.30607995e-04  1
12  2.42710552e-03  4.02419135e-05  5.32652462e-08  3.54009995e-02  4.07878578e-04  4.02419135e-05  1
13  7.49938072e-04  1.24209536e-05  1.59500599e-08  3.54009995e-02  3.96370361e-04  1.24209536e-05  1
14  2.32053564e-04  3.83941312e-06  5.06685771e-09  3.54009995e-02  4.07933303e-04  3.83941312e-06  1
15  7.18805055e-05  1.18830722e-06  1.52439757e-09  3.54009995e-02  3.97040740e-04  1.18830722e-06  1
16  2.22901101e-05  3.68167986e-07  4.84939230e-10  3.54009995e-02  4.08092954e-04  3.68167986e-07  1
17  6.91709802e-06  1.14178886e-07  1.46403873e-10  3.54009995e-02  3.97655236e-04  1.14178886e-07  1
