1	1.949093593684676051e+00	9.853577231909929068e-01	6.687480331319302085e-01	5.142531325859623914e-01	4.172957542201998771e-01	3.562344943454379131e-01
2	3.800467765014788335e-01	1.839041273196017900e-01	8.838813413649697359e-02	3.928967374161655701e-02	2.672733829874869918e-02	2.090310542198826199e-02
3	1.707184525909334338e-01	2.822657792291339077e-02	1.523705408893975127e-02	1.048111969988664571e-02	7.020357727993443812e-03	4.144958348145410740e-03
4	6.607126221190882942e-02	1.335543184963731457e-02	6.801305470831342341e-03	3.245646621216562167e-03	1.716559591206302544e-03	9.236553173912281055e-04
5	2.674596848676621952e-02	8.091344304835629275e-03	2.936698044047729612e-03	1.191605246963531968e-03	3.903925812431076120e-04	1.031268368290179881e-04
6	1.860741769412243771e-02	4.410528686521147587e-03	1.474871460602954426e-03	3.466758474728599652e-04	6.290385939845526283e-05	1.071857183128015377e-05
7	1.442019685827289170e-02	3.088399465100981085e-03	6.929503332452580057e-04	8.833633759368148734e-05	1.035354401840836079e-05	9.530121303062724818e-07
8	1.189877690393204707e-02	2.143550837148472214e-03	2.867833892007868148e-04	2.311074685468629447e-05	1.508955237336859935e-06	8.632667782437538068e-08
9	9.873309071998376263e-03	1.482953651307178074e-03	1.157771969464785615e-04	5.757729544392241868e-06	2.263655312763395455e-07	7.319908628170899046e-09
10	8.201261345322617344e-03	1.003099146618445601e-03	4.738757739112561915e-05	1.395594074450284329e-06	3.270279361660607312e-08	NaN
11	6.958741047512062051e-03	6.560482107231668933e-04	1.969646363909226659e-05	3.438668585596473794e-07	1.284134967993814172e-08	NaN
12	5.682123284038912044e-03	4.148629515233615678e-04	7.927009893616889725e-06	8.390539863443063919e-08	2.816798163320223678e-09	NaN
13	4.576602255420995045e-03	2.585337612211789453e-04	3.101217955520068984e-06	1.978026246840046486e-08	NaN	NaN
14	4.197567263096588924e-03	1.605689528628592385e-04	1.237585919388267488e-06	3.045379602901889589e-08	NaN	NaN
15	3.854295150111926565e-03	1.003083205647336960e-04	4.953892440548383968e-07	3.165336452524038837e-08	NaN	NaN
16	3.474783708343151447e-03	6.320224419133033285e-05	1.976331825283514440e-07	1.072805695449306076e-08	NaN	NaN
17	3.063819587331037281e-03	3.948575239601192740e-05	7.846916367934564452e-08	1.292860201127663898e-08	NaN	NaN
18	2.793242344495321626e-03	2.499029921683975774e-05	3.061902066708483839e-08	1.473598833365016721e-08	NaN	NaN
19	2.470469517279728043e-03	1.585971222346874119e-05	1.213920060555207081e-08	3.042338832803454414e-08	NaN	NaN
20	2.190562464106538855e-03	9.877355809630230388e-06	4.828930363792107509e-09	1.866875418585057370e-08	NaN	NaN
21	1.902758391855662555e-03	6.071623332116671971e-06	NaN	8.941559866046959196e-09	NaN	NaN
22	1.756811556937130578e-03	3.742722482039068756e-06	NaN	NaN	NaN	NaN
23	1.589350598212733697e-03	2.331393931381774623e-06	NaN	NaN	NaN	NaN
24	1.423588510498761690e-03	1.451865835801934024e-06	NaN	NaN	NaN	NaN
25	1.270663851907931569e-03	9.037671046013824099e-07	NaN	NaN	NaN	NaN
26	1.132338530586895044e-03	5.620284529665258508e-07	NaN	NaN	NaN	NaN
