0 -2.8221815062 -2.2617493275
0.01 -2.8221815062 -2.2617493275
0.02 -2.8222747071 -2.26084574295
0.03 -2.8224266056 -2.25933565863333
0.04 -2.8226320605 -2.25721293305
0.05 -2.8228839002 -2.2544690162
0.06 -2.82317294966667 -2.25109299633333
0.07 -2.82348806342857 -2.247071662
0.08 -2.82381616675 -2.24238957475
0.09 -2.82414230355556 -2.23702915644444
0.1 -2.8244496915 -2.2309707887
0.11 -2.82471978372727 -2.22419292390909
0.12 -2.82493233725 -2.21667220858333
0.13 -2.82506548761538 -2.208383618
0.14 -2.82509582978571 -2.19930060135714
0.15 -2.824998505 -2.1893952374
0.16 -2.8247472929375 -2.1786383999375
0.17 -2.82431470947059 -2.16699993235294
0.18 -2.82367210916667 -2.15444883038889
0.19 -2.82278979242105 -2.14095343321053
0.2 -2.8216371171 -2.12648162105
0.21 -2.820182614 -2.11100101961905
0.22 -2.81839410568182 -2.09447920954545
0.23 -2.81623882865217 -2.07688394117391
0.24 -2.81368355833333 -2.05818335266667
0.25 -2.8106947362 -2.03834619152
0.26 -2.80723859903846 -2.01734203796154
0.27 -2.80328130951852 -1.99514152992593
0.28 -2.79878908807143 -1.97171658760714
0.29 -2.79372834503448 -1.94704063810345
0.3 -2.78806581346667 -1.9210888383
0.31 -2.7817686813871 -1.89383829516129
0.32 -2.7748047233125 -1.86526828184375
0.33 -2.76714243 -1.835360448
0.34 -2.75875114035294 -1.80409903479412
0.35 -2.74960116202857 -1.7714710578
0.36 -2.73966390477778 -1.73746652372222
0.37 -2.72891199351351 -1.70207859245946
0.38 -2.71731939026316 -1.66530376078947
0.39 -2.70486151102564 -1.62714203479487
0.4 -2.691515332 -1.5875970718
0.41 -2.67725949731707 -1.5466763262439
0.42 -2.66207442 -1.50439117861905
0.43 -2.64594237813954 -1.46075705072093
0.44 -2.62884760454545 -1.41579350618182
0.45 -2.610776372 -1.36952433615556
0.46 -2.59171707108696 -1.32197762873913
0.47 -2.57166028148936 -1.27318582202128
0.48 -2.550598833125 -1.22318573154167
0.49 -2.52852786591837 -1.17201857444898
0.5 -2.5054448944 -1.11972999412
0.51 -2.48134983196078 -1.06637000588235
0.52 -2.45624500865385 -1.01199293217308
0.53 -2.43013526622642 -0.956657461679245
0.54 -2.40302789740741 -0.90042643462963
0.55 -2.37493270436364 -0.843366830018182
0.56 -2.34586199910714 -0.785549640857143
0.57 -2.31583056719298 -0.727049693719298
0.58 -2.2848557037931 -0.667945567103448
0.59 -2.25295714237288 -0.608319346186441
0.6 -2.22015705133333 -0.548256466666667
0.61 -2.18648001704918 -0.487845528819672
0.62 -2.15195290129032 -0.427177951306452
0.63 -2.11660494555556 -0.366347908825397
0.64 -2.08046756984375 -0.30545190515625
0.65 -2.04357432169231 -0.244588525923077
0.66 -2.00596089787879 -0.183858224424242
0.67 -1.96766495104478 -0.123362910925373
0.68 -1.92872601720588 -0.0632056553514706
0.69 -1.88918544768116 -0.00349036487463768
0.7 -1.84908630714286 0.0556785790514286
0.71 -1.80847322267606 0.114196693533803
0.72 -1.76739228236111 0.171959758166667
0.73 -1.72589090561644 0.228864187205479
0.74 -1.68401772486486 0.284807421391892
0.75 -1.64182245826667 0.339688347493333
0.76 -1.59935574618421 0.393407662184211
0.77 -1.55666901857143 0.44586827974026
0.78 -1.51381434858974 0.496975730833333
0.79 -1.47084430253165 0.546638559949367
0.8 -1.427811787 0.5947687199625
0.81 -1.38476989395062 0.641281961666667
0.82 -1.34177174487805 0.686098216560976
0.83 -1.29887033240964 0.729141970975904
0.84 -1.25611836261905 0.770342629619048
0.85 -1.21356809694118 0.809634866552941
0.86 -1.17127119465116 0.846958961755814
0.87 -1.12927855634483 0.882261121344828
0.88 -1.08764016901136 0.915493779352273
0.89 -1.04640495396629 0.946615879258427
0.9 -1.00562061694444 0.975593133044445
0.91 -0.965333501901099 1.00239825593407
0.92 -0.925588448847826 1.02701117463043
0.93 -0.886428656365591 1.049419207
0.94 -0.847895549308511 1.06961721117021
0.95 -0.810028652663158 1.08760770178947
0.96 -0.772865471895833 1.10340093177083
0.97 -0.736441459886598 1.11701467659794
0.98 -0.7007897 1.12847497540816
0.99 -0.665940969373737 1.13781551262626
1 -0.63192362688 1.1450776414
1.01 -0.598763522643564 1.15031030841584
1.02 -0.566483929323529 1.15356989343137
1.03 -0.535105569572816 1.1549197968932
1.04 -0.504646422153846 1.15443060336538
1.05 -0.475121573228571 1.15217997409524
1.06 -0.446543444254717 1.14825167481132
1.07 -0.418921683616822 1.14273543140187
1.08 -0.392263304546296 1.13572626842593
1.09 -0.366572407422018 1.12732460376147
1.1 -0.341850133554545 1.11763563536364
1.11 -0.318095042873874 1.10676819351351
1.12 -0.295303114160714 1.09483430017857
1.13 -0.273467791212389 1.08194869070796
1.14 -0.252579457842105 1.06822825973684
1.15 -0.232626298921739 1.05379061052174
1.16 -0.21359431437931 1.03875365206897
1.17 -0.195467087965812 1.02323488358974
1.18 -0.178225760966102 1.00734966872881
1.19 -0.161849732714286 0.991210688571429
1.2 -0.146316860433333 0.974928219083333
1.21 -0.131602632297521 0.958605915702479
1.22 -0.117681358237705 0.942341646147541
1.23 -0.104526245731707 0.926227955528455
1.24 -0.0921090415564516 0.910347281774193
1.25 -0.08040069528 0.8947711168
1.26 -0.0693716633333333 0.879563170238095
1.27 -0.0589917910070866 0.864772940944882
1.28 -0.0492309253539062 0.850433471328125
1.29 -0.0400589015403101 0.836566595348837
1.3 -0.0314454759676923 0.823161768615385
1.31 -0.0233614965427481 0.810177113664122
1.32 -0.015778196755303 0.797556302878788
1.33 -0.00866961450827068 0.785212241428571
1.34 -0.00201198031313433 0.773054832089552
1.35 0.00421728363474074 0.76098561637037
1.36 0.0100362221926471 0.748909611323529
1.37 0.0154622076854015 0.736737078832117
1.38 0.0205099946485507 0.724386477369565
1.39 0.0251922343510791 0.711795980273381
1.4 0.0295211464692857 0.698905741821429
1.41 0.0335068660588652 0.685684429191489
