1	4.442491081754347260e-01	2.481632424618849531e-01	1.725849523617931647e-01	1.322579749837368424e-01	1.073048219897937694e-01	9.011575737874100156e-02
2	1.379616734778013609e-01	5.397771288251926314e-02	3.366342850381463109e-02	2.636529056889623523e-02	2.382449454112791493e-02	2.453800609481672848e-02
3	6.466128580781242696e-02	2.536769361790064403e-02	1.848066199886611721e-02	1.153776047403295112e-02	8.863492337167240900e-03	9.350441349131620450e-03
4	3.816589950278115317e-02	1.803927627912043502e-02	6.832596384100720656e-03	3.449616326738801780e-03	1.534344445878607893e-03	7.930470587890235202e-04
5	2.890012778351115988e-02	1.029990151426546721e-02	2.107350526034884944e-03	6.616549909592574870e-04	2.194280920089981585e-04	7.356561157964444870e-05
6	2.430643236213922767e-02	4.503158781660306087e-03	6.953265802205766798e-04	1.403356999662440146e-04	2.909441220388822667e-05	6.849732959444195572e-06
7	2.135245126280986214e-02	2.241389016607895496e-03	2.372768368560244153e-04	2.880588070156024619e-05	3.669647618670668541e-06	4.744908223920022155e-07
8	1.937732302193913292e-02	1.187420532465821663e-03	8.092058634725964993e-05	6.326423830559984014e-06	4.408700236171703148e-07	3.484892289207105046e-08
9	1.757311160841952893e-02	6.411306873178356305e-04	2.693352636382046126e-05	1.167223076601188285e-06	5.133964764838005560e-08	2.488054231246716620e-09
10	1.482863251441158929e-02	3.516618856319567881e-04	9.407232916292667546e-06	2.280642437004422536e-07	5.846987866977401922e-09	NaN
11	1.134576535051025868e-02	1.936547690347407817e-04	3.024298328617074373e-06	4.394775151405419836e-08	NaN	NaN
12	8.304159856740635226e-03	1.068062220713390266e-04	1.002548316337388542e-06	8.375069352963991942e-09	NaN	NaN
13	6.388430512241928191e-03	5.888698040960132059e-05	3.303180178852581304e-07	NaN	NaN	NaN
14	4.983592053863930040e-03	3.225494536602739701e-05	1.083160738088327560e-07	NaN	NaN	NaN
15	3.938319190497267287e-03	1.758684768194799543e-05	3.536524387469707051e-08	NaN	NaN	NaN
16	3.155772252398619630e-03	9.700186176149302832e-06	1.150487086412242860e-08	NaN	NaN	NaN
