1	4.444486605076405916e-01	2.484375725188424922e-01	1.727885719196183278e-01	1.323758059023284750e-01	1.075983660691591376e-01	9.030166684099745489e-02
2	1.379069866893876672e-01	5.366975975831384665e-02	3.291810255646335226e-02	2.483984254977028572e-02	2.068512569772634063e-02	1.809886487706739364e-02
3	6.454329004309065920e-02	2.500338599649527122e-02	1.746165655727302535e-02	9.420783510208320319e-03	3.922039157285814141e-03	1.748542248551808540e-03
4	3.811552016898722001e-02	1.775091024193283656e-02	5.452407207274890220e-03	1.477538565832045309e-03	4.536049760212589608e-04	1.373330905916456839e-04
5	2.889428181714831859e-02	9.881640400964177354e-03	1.521547175809615177e-03	2.901443123100170326e-04	5.781764108479177139e-05	2.504974882584521398e-05
6	2.423050480736892859e-02	4.359365811183173178e-03	4.887768868300457160e-04	6.034697496214682435e-05	2.378226314053818847e-05	2.013152996410002711e-05
7	2.131335198862848931e-02	2.120785579322752995e-03	1.631428055699476803e-04	2.448853520612031452e-05	2.013368678491143070e-05	2.012303566514226042e-05
8	1.937957197805896536e-02	1.108180471871133155e-03	5.713353274890316247e-05	2.022779299075299608e-05	2.012312187326036831e-05	2.012300589677531686e-05
9	1.744533681512831780e-02	5.929365795338077325e-04	2.670030627193626741e-05	2.012660695474133272e-05	2.012300699920629906e-05	2.012300579947587311e-05
10	1.479593918597596480e-02	3.245591611273086871e-04	2.235983652650576033e-05	2.012312608925045045e-05	2.012300581139753658e-05	2.012300579930045258e-05
11	1.126736476736694102e-02	1.786248712805537568e-04	2.020832360142024744e-05	2.012300973548880633e-05	2.012300579880984093e-05	2.012300579925370992e-05
12	8.399699526243772571e-03	9.949774175165242271e-05	2.013190155372809970e-05	2.012300592462318519e-05	2.012300579878616467e-05	2.012300579944449901e-05
13	6.470927484192363736e-03	5.718073307498453678e-05	2.012392385060171913e-05	2.012300580354429432e-05	2.012300579897475147e-05	2.012300579935599423e-05
14	5.132921113416230759e-03	3.561677982407358741e-05	2.012309978984325228e-05	2.012300579954967678e-05	2.012300579925580717e-05	2.012300579949760797e-05
15	4.056814084274983426e-03	2.578533086216637060e-05	2.012301536288637160e-05	2.012300579917808004e-05	2.012300579903400990e-05	2.012300580034119519e-05
16	3.239509422683055015e-03	2.200514761674353945e-05	2.012300676444454814e-05	2.012300579950690839e-05	2.012300579944586442e-05	2.012300580055585028e-05
17	2.615908128477762839e-03	2.069716301009823304e-05	2.012300589626816436e-05	2.012300579959878097e-05	2.012300579914667206e-05	2.012300579975751156e-05
18	2.132883602424497354e-03	2.029671788946319402e-05	2.012300580852799902e-05	2.012300579980710026e-05	2.012300579881462498e-05	2.012300580093847539e-05
19	1.742647542797706684e-03	2.017512456055655011e-05	2.012300580000482146e-05	2.012300579981684114e-05	2.012300579876152279e-05	2.012300579874229175e-05
20	1.428529914741714880e-03	2.013859142519663394e-05	2.012300579920247120e-05	2.012300580014213567e-05	2.012300579913724627e-05	2.012300579903961387e-05
21	1.172938926965485596e-03	2.012765646084306082e-05	2.012300579924525653e-05	2.012300579979244998e-05	2.012300579888283823e-05	2.012300579858176207e-05
22	9.659212596377595448e-04	2.012439218732202891e-05	2.012300579914248433e-05	2.012300579931227039e-05	2.012300579754607794e-05	2.012300580001412866e-05
23	7.974668304635516977e-04	2.012341828390691801e-05	2.012300579916720414e-05	2.012300579967675205e-05	2.012300579894108022e-05	2.012300579961311277e-05
24	6.635049778541371630e-04	2.012312855348621238e-05	2.012300579877009815e-05	2.012300579991677747e-05	2.012300579921694191e-05	2.012300579836863841e-05
25	5.521663993490872040e-04	2.012304220891919431e-05	2.012300579900785352e-05	2.012300579960787472e-05	2.012300579940635542e-05	2.012300579920589660e-05
